Fragment,Growth (mg/g/d)
C_511,0.83052392
C_512,0.598225428
C_513,1.010470011
C_514,0.535711479
C_515,0.298381805
C_516,0.84332387
C_517,1.007471336
C_518,1.216042567
C_519,0.901033071
C_520,1.199431258
C_521,1.120962682
C_522,0.569756107
C_523,0.724150712
C_524,1.398272546
C_525,0.615774262
C_526,0.650039824
C_527,0.468159071
C_528,0.803162118
C_529,0.48142999
C_530,0.969172985
C_531,0.701615045
C_532,0.788384831
C_533,0.346215406
C_534,0.444516486
D_535,0.299749045
D_536,0.577602827
D_537,0.359877146
D_538,-0.307328039
D_539,0.612528074
D_540,0.122167095
D_541,0.273684446
D_542,0.635561902
D_543,0.519011188
D_544,0.28842148
D_545,0.393587844
D_546,0.305043121
D_547,0.816307192
D_548,0.717082151
D_549,1.0222807
D_860,0.977584476
D_861,0.529960023
D_862,0.918792047
D_863,0.631478189
D_864,0.498739298
D_865,0.562249775
D_866,0.378086771
D_867,0.853159807
D_868,0.250689396
D_871,0.292877517
D_872,0.098651256
D_873,0.083749246
A_741,1.479545103
A_740,1.216863719
A_110,0.432623341
A_96,0.430549027
A_121,0.121866168
,
A_83,0.083680201
A_5,0.417461266
A_305,0.915795763
A_201,0.156394513
A_109,0.477839085
A_321,0.275964677
A_19,0.150596362
A_287,0.154112596
A_79,0.555849618
A_105,0.277959235
A_214,0.30766435
A_107,0.564603147
A_202,1.783845279
A_74,0.258736449
A_80,0.115795568
A_742,1.183156561
A_82,-0.005388773
A_209,0.267994114
A_743,1.560322889
A_205,0.204960033
A_111,0.919681444
A_310,0.393314883
A_303,0.298439934